	8594900
2016-06-15 04:00:00	0.69
2016-06-15 05:00:00	0.661
2016-06-15 06:00:00	0.548
2016-06-15 07:00:00	0.387
2016-06-15 08:00:00	0.205
2016-06-15 09:00:00	0.042
2016-06-15 10:00:00	-0.089
2016-06-15 11:00:00	-0.164
2016-06-15 12:00:00	-0.134
2016-06-15 13:00:00	0.038
2016-06-15 14:00:00	0.272
2016-06-15 15:00:00	0.46
2016-06-15 16:00:00	0.583
2016-06-15 17:00:00	0.612
2016-06-15 18:00:00	0.535
2016-06-15 19:00:00	0.379
2016-06-15 20:00:00	0.2
2016-06-15 21:00:00	0.042
2016-06-15 22:00:00	-0.088
2016-06-15 23:00:00	-0.167
2016-06-16 00:00:00	-0.133
2016-06-16 01:00:00	0.063
2016-06-16 02:00:00	0.311
2016-06-16 03:00:00	0.521
2016-06-16 04:00:00	0.662
2016-06-16 05:00:00	0.702
2016-06-16 06:00:00	0.634
2016-06-16 07:00:00	0.472
2016-06-16 08:00:00	0.283
2016-06-16 09:00:00	0.109
2016-06-16 10:00:00	-0.038
2016-06-16 11:00:00	-0.141
2016-06-16 12:00:00	-0.202
2016-06-16 13:00:00	-0.179
2016-06-16 14:00:00	-0.008
2016-06-16 15:00:00	0.223
2016-06-16 16:00:00	0.418
2016-06-16 17:00:00	0.541
2016-06-16 18:00:00	0.539
2016-06-16 19:00:00	0.423
2016-06-16 20:00:00	0.238
2016-06-16 21:00:00	0.059
2016-06-16 22:00:00	-0.067
2016-06-16 23:00:00	-0.2
2016-06-17 00:00:00	-0.241
2016-06-17 01:00:00	-0.034
2016-06-17 02:00:00	0.25
2016-06-17 03:00:00	0.488
2016-06-17 04:00:00	0.698
2016-06-17 05:00:00	0.78
2016-06-17 06:00:00	0.759
2016-06-17 07:00:00	0.666
2016-06-17 08:00:00	0.509
2016-06-17 09:00:00	0.341
2016-06-17 10:00:00	0.187
2016-06-17 11:00:00	0.058
2016-06-17 12:00:00	-0.029
2016-06-17 13:00:00	-0.049
2016-06-17 14:00:00	0.088
2016-06-17 15:00:00	0.337
2016-06-17 16:00:00	0.564
2016-06-17 17:00:00	0.701
2016-06-17 18:00:00	0.749
2016-06-17 19:00:00	0.676
2016-06-17 20:00:00	0.516
2016-06-17 21:00:00	0.339
2016-06-17 22:00:00	0.178
2016-06-17 23:00:00	0.043
2016-06-18 00:00:00	-0.053
2016-06-18 01:00:00	-0.071
2016-06-18 02:00:00	0.072
2016-06-18 03:00:00	0.345
2016-06-18 04:00:00	0.605
2016-06-18 05:00:00	0.782
2016-06-18 06:00:00	0.848
2016-06-18 07:00:00	0.798
2016-06-18 08:00:00	0.656
2016-06-18 09:00:00	0.469
2016-06-18 10:00:00	0.278
2016-06-18 11:00:00	0.111
2016-06-18 12:00:00	-0.019
2016-06-18 13:00:00	-0.103
2016-06-18 14:00:00	-0.124
2016-06-18 15:00:00	-0.006
2016-06-18 16:00:00	0.239
2016-06-18 17:00:00	0.481
2016-06-18 18:00:00	0.635
2016-06-18 19:00:00	0.677
2016-06-18 20:00:00	0.593
2016-06-18 21:00:00	0.438
2016-06-18 22:00:00	0.257
2016-06-18 23:00:00	0.099
2016-06-19 00:00:00	-0.033
2016-06-19 01:00:00	-0.123
2016-06-19 02:00:00	-0.148
2016-06-19 03:00:00	-0.041
2016-06-19 04:00:00	0.193
2016-06-19 05:00:00	0.422
2016-06-19 06:00:00	0.575
2016-06-19 07:00:00	0.642
2016-06-19 08:00:00	0.585
2016-06-19 09:00:00	0.428
2016-06-19 10:00:00	0.232
2016-06-19 11:00:00	0.044
2016-06-19 12:00:00	-0.118
2016-06-19 13:00:00	-0.241
2016-06-19 14:00:00	-0.315
2016-06-19 15:00:00	-0.307
2016-06-19 16:00:00	-0.148
2016-06-19 17:00:00	0.141
2016-06-19 18:00:00	0.382
2016-06-19 19:00:00	0.509
2016-06-19 20:00:00	0.52
2016-06-19 21:00:00	0.411
2016-06-19 22:00:00	0.228
2016-06-19 23:00:00	0.042
2016-06-20 00:00:00	-0.126
2016-06-20 01:00:00	-0.256
2016-06-20 02:00:00	-0.334
2016-06-20 03:00:00	-0.317
2016-06-20 04:00:00	-0.127
2016-06-20 05:00:00	0.152
2016-06-20 06:00:00	0.376
2016-06-20 07:00:00	0.513
2016-06-20 08:00:00	0.531
2016-06-20 09:00:00	0.45
2016-06-20 10:00:00	0.293
2016-06-20 11:00:00	0.104
2016-06-20 12:00:00	-0.076
2016-06-20 13:00:00	-0.228
2016-06-20 14:00:00	-0.345
2016-06-20 15:00:00	-0.391
2016-06-20 16:00:00	-0.317
2016-06-20 17:00:00	-0.086
2016-06-20 18:00:00	0.187
2016-06-20 19:00:00	0.37
2016-06-20 20:00:00	0.46
2016-06-20 21:00:00	0.428
2016-06-20 22:00:00	0.297
2016-06-20 23:00:00	0.123
2016-06-21 00:00:00	-0.049
2016-06-21 01:00:00	-0.2
2016-06-21 02:00:00	-0.314
2016-06-21 03:00:00	-0.367
2016-06-21 04:00:00	-0.283
2016-06-21 05:00:00	-0.026
2016-06-21 06:00:00	0.245
2016-06-21 07:00:00	0.445
2016-06-21 08:00:00	0.562
2016-06-21 09:00:00	0.565
2016-06-21 10:00:00	0.467
2016-06-21 11:00:00	0.286
2016-06-21 12:00:00	0.096
2016-06-21 13:00:00	-0.058
2016-06-21 14:00:00	-0.192
2016-06-21 15:00:00	-0.302
2016-06-21 16:00:00	-0.326
2016-06-21 17:00:00	-0.223
2016-06-21 18:00:00	0.04
2016-06-21 19:00:00	0.312
2016-06-21 20:00:00	0.49
2016-06-21 21:00:00	0.537
2016-06-21 22:00:00	0.466
2016-06-21 23:00:00	0.326
2016-06-22 00:00:00	0.195
2016-06-22 01:00:00	0.066
